time,mac,type,RSSI,uuid
2021-01-20T14:16:53.229377,74:ae:c6:f3:58:f6,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.304923,62:db:6b:f7:28:94,random,-69,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.360854,7c:8b:e8:1a:73:92,random,-96,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.454114,4d:3a:5a:f5:c5:d1,random,-85,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.540377,60:dd:1b:15:c4:ef,random,-83,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.598591,53:b7:77:93:b7:5a,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.644660,4c:59:08:e0:cf:ac,random,-86,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:54.711052,60:dd:1b:15:c4:ef,random,-71,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:54.775861,63:dd:5f:79:6f:64,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:54.812080,5f:21:0d:f8:c1:02,random,-93,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:54.869249,47:ac:b3:39:26:71,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:54.911593,44:d0:13:e5:0d:07,random,-79,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:54.999237,4d:3a:5a:f5:c5:d1,random,-75,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:55.093905,62:db:6b:f7:28:94,random,-94,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.190367,59:87:0e:16:6f:c2,random,-78,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.271762,63:dd:5f:79:6f:64,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.400682,4c:59:08:e0:cf:ac,random,-90,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.449786,74:ae:c6:f3:58:f6,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.510437,44:d0:13:e5:0d:07,random,-90,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.575531,77:f8:5e:a2:55:a4,random,-81,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.631444,62:db:6b:f7:28:94,random,-80,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.680321,4a:d6:15:34:15:3b,random,-78,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:57.804480,60:dd:1b:15:c4:ef,random,-89,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:57.884427,62:db:6b:f7:28:94,random,-85,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:57.926139,63:dd:5f:79:6f:64,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.310135,74:ae:c6:f3:58:f6,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.346095,5f:21:0d:f8:c1:02,random,-96,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.371459,53:b7:77:93:b7:5a,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.415973,4d:3a:5a:f5:c5:d1,random,-85,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.478618,47:ac:b3:39:26:71,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.537687,59:87:0e:16:6f:c2,random,-76,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:59.628105,59:87:0e:16:6f:c2,random,-86,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:59.701652,53:b7:77:93:b7:5a,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:59.765435,63:dd:5f:79:6f:64,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:59.839234,5f:21:0d:f8:c1:02,random,-82,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:59.898496,47:ac:b3:39:26:71,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:59.957439,4d:3a:5a:f5:c5:d1,random,-91,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:00.040178,7c:8b:e8:1a:73:92,random,-83,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:00.182957,74:ae:c6:f3:58:f6,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:00.231472,62:db:6b:f7:28:94,random,-73,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:00.310994,4c:59:08:e0:cf:ac,random,-99,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.399972,60:dd:1b:15:c4:ef,random,-71,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.473609,47:ac:b3:39:26:71,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.536541,5f:21:0d:f8:c1:02,random,-81,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.587689,4d:3a:5a:f5:c5:d1,random,-82,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.675761,77:f8:5e:a2:55:a4,random,-81,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.736984,62:db:6b:f7:28:94,random,-69,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.786407,4a:d6:15:34:15:3b,random,-80,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.834192,59:87:0e:16:6f:c2,random,-72,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:02.905920,74:ae:c6:f3:58:f6,random,-89,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:02.983476,60:dd:1b:15:c4:ef,random,-85,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:03.152795,53:b7:77:93:b7:5a,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:03.194990,63:dd:5f:79:6f:64,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:03.243360,47:ac:b3:39:26:71,random,-76,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:03.364145,4d:3a:5a:f5:c5:d1,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:03.692108,7c:8b:e8:1a:73:92,random,-80,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:03.824852,59:87:0e:16:6f:c2,random,-90,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:04.918501,59:87:0e:16:6f:c2,random,-78,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:04.981861,72:59:1f:55:67:71,random,-92,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:05.045954,60:dd:1b:15:c4:ef,random,-85,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:05.093729,5f:21:0d:f8:c1:02,random,-81,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:05.150362,47:ac:b3:39:26:71,random,-99,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:05.227136,4d:3a:5a:f5:c5:d1,random,-75,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:05.272749,7c:8b:e8:1a:73:92,random,-96,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:05.360212,74:ae:c6:f3:58:f6,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:05.414164,62:db:6b:f7:28:94,random,-86,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.513553,59:87:0e:16:6f:c2,random,-86,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.578091,60:dd:1b:15:c4:ef,random,-79,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.610816,72:59:1f:55:67:71,random,-78,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.664761,62:db:6b:f7:28:94,random,-81,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.722841,63:dd:5f:79:6f:64,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.776185,74:ae:c6:f3:58:f6,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.830940,5f:21:0d:f8:c1:02,random,-79,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.902256,4d:3a:5a:f5:c5:d1,random,-91,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:06.971115,4c:59:08:e0:cf:ac,random,-93,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:07.025372,77:f8:5e:a2:55:a4,random,-82,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:08.135085,60:dd:1b:15:c4:ef,random,-91,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:08.181603,53:b7:77:93:b7:5a,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:08.251135,4d:3a:5a:f5:c5:d1,random,-89,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:08.342392,77:f8:5e:a2:55:a4,random,-96,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:08.550201,4a:d6:15:34:15:3b,random,-93,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:09.644700,59:87:0e:16:6f:c2,random,-94,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:09.720277,72:59:1f:55:67:71,random,-87,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:09.774304,63:dd:5f:79:6f:64,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:09.855626,74:ae:c6:f3:58:f6,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:09.888584,44:d0:13:e5:0d:07,random,-91,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:09.925021,4d:3a:5a:f5:c5:d1,random,-81,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:09.965417,47:ac:b3:39:26:71,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:09.992582,7c:8b:e8:1a:73:92,random,-83,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:10.046282,77:f8:5e:a2:55:a4,random,-81,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:10.087892,4c:59:08:e0:cf:ac,random,-96,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:11.190482,72:59:1f:55:67:71,random,-88,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:11.256801,63:dd:5f:79:6f:64,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:11.303973,4d:3a:5a:f5:c5:d1,random,-94,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:11.372069,74:ae:c6:f3:58:f6,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:11.424087,60:dd:1b:15:c4:ef,random,-80,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:11.474204,4a:d6:15:34:15:3b,random,-76,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:11.538435,77:f8:5e:a2:55:a4,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.609910,59:87:0e:16:6f:c2,random,-73,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.676148,63:dd:5f:79:6f:64,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.771166,74:ae:c6:f3:58:f6,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.813107,44:d0:13:e5:0d:07,random,-91,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.856008,5f:21:0d:f8:c1:02,random,-93,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.935672,4d:3a:5a:f5:c5:d1,random,-78,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.982114,60:dd:1b:15:c4:ef,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:13.036521,4a:d6:15:34:15:3b,random,-91,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:15.108306,59:87:0e:16:6f:c2,random,-78,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:15.183393,60:dd:1b:15:c4:ef,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:15.233929,63:dd:5f:79:6f:64,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:15.282132,5f:21:0d:f8:c1:02,random,-94,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:15.334171,4d:3a:5a:f5:c5:d1,random,-92,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:15.388159,4a:d6:15:34:15:3b,random,-82,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:15.440093,77:f8:5e:a2:55:a4,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:16.521444,74:ae:c6:f3:58:f6,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:16.619528,60:dd:1b:15:c4:ef,random,-91,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:16.709818,72:59:1f:55:67:71,random,-92,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:16.856679,53:b7:77:93:b7:5a,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:16.943314,62:db:6b:f7:28:94,random,-88,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:17.030356,4d:3a:5a:f5:c5:d1,random,-82,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:17.184469,7c:8b:e8:1a:73:92,random,-80,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:17.231996,59:87:0e:16:6f:c2,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:17.277045,4a:d6:15:34:15:3b,random,-77,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:17.325858,77:f8:5e:a2:55:a4,random,-83,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:18.401699,59:87:0e:16:6f:c2,random,-92,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:18.455344,72:59:1f:55:67:71,random,-79,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:18.496788,53:b7:77:93:b7:5a,random,-98,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:18.569529,4d:3a:5a:f5:c5:d1,random,-92,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:18.620047,7c:8b:e8:1a:73:92,random,-82,0000ce9c-0000-1000-8000-00805f9b34fb
