time,mac,type,RSSI,uuid
2021-01-20T14:16:51.737806,4a:d6:15:34:15:3b,random,-93,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:51.840844,72:59:1f:55:67:71,random,-91,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:51.920678,77:f8:5e:a2:55:a4,random,-97,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:51.970774,4d:3a:5a:f5:c5:d1,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:52.037027,60:dd:1b:15:c4:ef,random,-99,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:52.091897,62:db:6b:f7:28:94,random,-86,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.189082,77:f8:5e:a2:55:a4,random,-95,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.294714,47:ac:b3:39:26:71,random,-98,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:55.672919,4c:59:08:e0:cf:ac,random,-98,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.781419,77:f8:5e:a2:55:a4,random,-91,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.847020,4a:d6:15:34:15:3b,random,-80,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:00.027184,4a:d6:15:34:15:3b,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.100052,72:59:1f:55:67:71,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:02.221163,59:87:0e:16:6f:c2,random,-85,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:02.296662,72:59:1f:55:67:71,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:03.393976,72:59:1f:55:67:71,random,-93,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:03.562513,4a:d6:15:34:15:3b,random,-79,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:04.639822,77:f8:5e:a2:55:a4,random,-95,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:05.726069,77:f8:5e:a2:55:a4,random,-95,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:07.852665,4a:d6:15:34:15:3b,random,-78,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:08.958071,77:f8:5e:a2:55:a4,random,-81,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:10.106827,77:f8:5e:a2:55:a4,random,-97,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:11.185956,77:f8:5e:a2:55:a4,random,-95,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.293200,72:59:1f:55:67:71,random,-79,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:12.355136,4a:d6:15:34:15:3b,random,-85,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:14.503205,72:59:1f:55:67:71,random,-78,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:14.890892,4a:d6:15:34:15:3b,random,-80,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:15.978326,72:59:1f:55:67:71,random,-80,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:16.033519,77:f8:5e:a2:55:a4,random,-82,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:16.093165,4a:d6:15:34:15:3b,random,-91,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:17.164199,72:59:1f:55:67:71,random,-86,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:17.221763,77:f8:5e:a2:55:a4,random,-85,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:18.313389,4a:d6:15:34:15:3b,random,-84,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:19.428528,77:f8:5e:a2:55:a4,random,-90,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:19.485791,4a:d6:15:34:15:3b,random,-91,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:20.566897,77:f8:5e:a2:55:a4,random,-86,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:20.626148,4a:d6:15:34:15:3b,random,-78,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:21.711591,72:59:1f:55:67:71,random,-92,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:21.789545,4a:d6:15:34:15:3b,random,-92,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:22.864319,4d:3a:5a:f5:c5:d1,random,-96,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:22.928296,72:59:1f:55:67:71,random,-82,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:23.036187,60:dd:1b:15:c4:ef,random,-86,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:23.111305,4a:d6:15:34:15:3b,random,-95,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:23.160457,59:87:0e:16:6f:c2,random,-88,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:25.329064,4a:d6:15:34:15:3b,random,-98,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:26.843801,77:f8:5e:a2:55:a4,random,-91,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:26.918172,4a:d6:15:34:15:3b,random,-95,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:28.017819,4d:3a:5a:f5:c5:d1,random,-85,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:28.076413,60:dd:1b:15:c4:ef,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:28.150643,4a:d6:15:34:15:3b,random,-86,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:29.252161,4d:3a:5a:f5:c5:d1,random,-86,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:29.334999,72:59:1f:55:67:71,random,-73,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:29.383278,60:dd:1b:15:c4:ef,random,-84,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:30.511213,60:dd:1b:15:c4:ef,random,-82,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:30.588473,62:db:6b:f7:28:94,random,-97,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:31.669675,59:87:0e:16:6f:c2,random,-83,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:31.727296,77:f8:5e:a2:55:a4,random,-81,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:31.789252,60:dd:1b:15:c4:ef,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
