time,mac,type,RSSI,uuid
2021-01-20T14:16:51.786521,77:f8:5e:a2:55:a4,random,-82,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:51.856096,4d:3a:5a:f5:c5:d1,random,-96,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:52.925463,53:b7:77:93:b7:5a,random,-99,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.109836,59:87:0e:16:6f:c2,random,-96,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.171570,72:59:1f:55:67:71,random,-97,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.392895,77:f8:5e:a2:55:a4,random,-99,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.500304,60:dd:1b:15:c4:ef,random,-93,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.571094,62:db:6b:f7:28:94,random,-95,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.630424,4c:59:08:e0:cf:ac,random,-99,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:53.691479,4d:3a:5a:f5:c5:d1,random,-98,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:54.775347,63:dd:5f:79:6f:64,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:54.878046,59:87:0e:16:6f:c2,random,-93,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:55.015608,72:59:1f:55:67:71,random,-90,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:55.074275,62:db:6b:f7:28:94,random,-97,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:55.219383,60:dd:1b:15:c4:ef,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:55.290888,4c:59:08:e0:cf:ac,random,-98,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:55.327769,4d:3a:5a:f5:c5:d1,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.422799,4a:d6:15:34:15:3b,random,-92,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.504902,77:f8:5e:a2:55:a4,random,-91,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.561604,72:59:1f:55:67:71,random,-93,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.630367,60:dd:1b:15:c4:ef,random,-83,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.777817,4c:59:08:e0:cf:ac,random,-99,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:56.837882,4d:3a:5a:f5:c5:d1,random,-100,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.008800,53:b7:77:93:b7:5a,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.056652,44:d0:13:e5:0d:07,random,-99,000027ef-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.105412,59:87:0e:16:6f:c2,random,-77,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.157403,77:f8:5e:a2:55:a4,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.213709,72:59:1f:55:67:71,random,-93,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.262783,4a:d6:15:34:15:3b,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.364703,5f:21:0d:f8:c1:02,random,-95,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.413034,60:dd:1b:15:c4:ef,random,-91,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.464261,62:db:6b:f7:28:94,random,-98,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:58.654020,4d:3a:5a:f5:c5:d1,random,-76,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:59.750705,59:87:0e:16:6f:c2,random,-79,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:16:59.807207,4d:3a:5a:f5:c5:d1,random,-93,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:00.097106,4a:d6:15:34:15:3b,random,-97,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:00.148375,60:dd:1b:15:c4:ef,random,-87,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:00.204310,62:db:6b:f7:28:94,random,-92,0000efbb-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.286097,47:ac:b3:39:26:71,random,-101,0000f22e-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.381960,4a:d6:15:34:15:3b,random,-97,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.451147,77:f8:5e:a2:55:a4,random,-79,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.546429,72:59:1f:55:67:71,random,-97,0000b1fc-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.646090,5f:21:0d:f8:c1:02,random,-105,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.693175,7c:8b:e8:1a:73:92,random,-98,0000ce9c-0000-1000-8000-00805f9b34fb
2021-01-20T14:17:01.745119,60:dd:1b:15:c4:ef,random,-85,0000efbb-0000-1000-8000-00805f9b34fb
