time,mac,type,RSSI,uuid
2023-01-06T17:31:00.138295,4f:54:4b:ca:5f:68,random,-76,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:00.155564,71:c1:0d:1f:3a:31,random,-95,0000ce9c-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:00.506139,4f:54:4b:ca:5f:68,random,-73,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:00.540960,7e:99:92:c0:99:b9,random,-86,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:00.897768,4f:54:4b:ca:5f:68,random,-78,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:00.931244,6e:b9:86:df:46:49,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:01.289152,4f:54:4b:ca:5f:68,random,-75,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:01.323706,7e:99:92:c0:99:b9,random,-88,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:01.353680,6e:b9:86:df:46:49,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:01.707511,6e:b9:86:df:46:49,random,-98,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:01.736184,4f:54:4b:ca:5f:68,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:01.770541,7e:99:92:c0:99:b9,random,-86,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:02.449412,4f:54:4b:ca:5f:68,random,-73,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:02.479413,7e:99:92:c0:99:b9,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:02.509431,6e:b9:86:df:46:49,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:02.867418,4f:54:4b:ca:5f:68,random,-74,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:02.902446,7e:99:92:c0:99:b9,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:02.933122,6e:b9:86:df:46:49,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:03.286194,4f:54:4b:ca:5f:68,random,-83,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:03.321320,6e:b9:86:df:46:49,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:03.675063,4f:54:4b:ca:5f:68,random,-79,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:03.706580,71:c1:0d:1f:3a:31,random,-96,0000ce9c-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:03.737176,7e:99:92:c0:99:b9,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:03.765194,6e:b9:86:df:46:49,random,-101,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:04.119135,4f:54:4b:ca:5f:68,random,-76,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:04.148340,71:c1:0d:1f:3a:31,random,-100,0000ce9c-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:04.512585,6e:b9:86:df:46:49,random,-100,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:04.866670,4f:54:4b:ca:5f:68,random,-79,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:04.897597,71:c1:0d:1f:3a:31,random,-96,0000ce9c-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:04.928972,7e:99:92:c0:99:b9,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:05.280160,4f:54:4b:ca:5f:68,random,-79,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:05.312803,7e:99:92:c0:99:b9,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:05.667456,4f:54:4b:ca:5f:68,random,-76,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:05.697890,7e:99:92:c0:99:b9,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:05.727098,6e:b9:86:df:46:49,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.081739,6e:b9:86:df:46:49,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.118679,4f:54:4b:ca:5f:68,random,-80,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.146743,71:c1:0d:1f:3a:31,random,-95,0000ce9c-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.174898,7e:99:92:c0:99:b9,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.530689,6e:b9:86:df:46:49,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.560531,4f:54:4b:ca:5f:68,random,-78,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.591696,7e:99:92:c0:99:b9,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.945573,4f:54:4b:ca:5f:68,random,-75,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:06.967756,6e:b9:86:df:46:49,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:07.301475,4f:54:4b:ca:5f:68,random,-79,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:07.330745,71:c1:0d:1f:3a:31,random,-94,0000ce9c-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:07.366396,6e:b9:86:df:46:49,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.052266,4f:54:4b:ca:5f:68,random,-74,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.087815,7e:99:92:c0:99:b9,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.117014,6e:b9:86:df:46:49,random,-91,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.470559,4f:54:4b:ca:5f:68,random,-77,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.505570,7e:99:92:c0:99:b9,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.860312,6e:b9:86:df:46:49,random,-91,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.890536,4f:54:4b:ca:5f:68,random,-71,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.919857,71:c1:0d:1f:3a:31,random,-95,0000ce9c-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:08.952435,7e:99:92:c0:99:b9,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:09.306721,4f:54:4b:ca:5f:68,random,-81,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:09.337785,6e:b9:86:df:46:49,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:09.691449,4f:54:4b:ca:5f:68,random,-75,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:09.725780,7e:99:92:c0:99:b9,random,-86,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:09.757341,6e:b9:86:df:46:49,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:10.113045,4f:54:4b:ca:5f:68,random,-74,0000ccb5-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:10.145119,7e:99:92:c0:99:b9,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:10.176657,6e:b9:86:df:46:49,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:10.531155,6e:b9:86:df:46:49,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-06T17:31:10.886066,7e:99:92:c0:99:b9,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
