time,mac,type,RSSI,uuid
2023-02-20T16:42:00.075840,56:e4:99:a5:90:5d,random,-73,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.177146,77:51:b3:6c:35:d1,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.352200,56:e4:99:a5:90:5d,random,-69,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.383712,72:c1:0f:a1:02:57,random,-77,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.409702,62:b8:d8:c8:cc:9d,random,-77,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.509712,56:e4:99:a5:90:5d,random,-73,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.610904,72:c1:0f:a1:02:57,random,-77,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.716017,72:c1:0f:a1:02:57,random,-77,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.823456,77:51:b3:6c:35:d1,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.924636,56:e4:99:a5:90:5d,random,-72,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.029688,56:e4:99:a5:90:5d,random,-72,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.060427,72:c1:0f:a1:02:57,random,-71,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.158502,72:c1:0f:a1:02:57,random,-73,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.185943,62:b8:d8:c8:cc:9d,random,-79,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.289782,72:c1:0f:a1:02:57,random,-70,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.320321,62:b8:d8:c8:cc:9d,random,-75,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.422241,72:c1:0f:a1:02:57,random,-69,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.452165,77:51:b3:6c:35:d1,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.553602,72:c1:0f:a1:02:57,random,-69,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.587919,62:b8:d8:c8:cc:9d,random,-76,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.686096,72:c1:0f:a1:02:57,random,-72,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.714394,77:51:b3:6c:35:d1,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.956081,72:c1:0f:a1:02:57,random,-78,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.984625,77:51:b3:6c:35:d1,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.086093,72:c1:0f:a1:02:57,random,-76,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.114296,77:51:b3:6c:35:d1,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.212148,72:c1:0f:a1:02:57,random,-69,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.240215,62:b8:d8:c8:cc:9d,random,-77,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.487680,77:51:b3:6c:35:d1,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.515129,62:b8:d8:c8:cc:9d,random,-88,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.613494,62:b8:d8:c8:cc:9d,random,-87,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.784736,56:e4:99:a5:90:5d,random,-74,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.813534,72:c1:0f:a1:02:57,random,-70,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.839796,62:b8:d8:c8:cc:9d,random,-79,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.868752,77:51:b3:6c:35:d1,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.039826,72:c1:0f:a1:02:57,random,-69,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.068547,62:b8:d8:c8:cc:9d,random,-81,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.094416,77:51:b3:6c:35:d1,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.268473,62:b8:d8:c8:cc:9d,random,-75,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.370966,56:e4:99:a5:90:5d,random,-78,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.477872,72:c1:0f:a1:02:57,random,-66,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.506273,77:51:b3:6c:35:d1,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.603630,77:51:b3:6c:35:d1,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.705076,62:b8:d8:c8:cc:9d,random,-82,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.883441,56:e4:99:a5:90:5d,random,-72,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.914248,77:51:b3:6c:35:d1,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.019020,77:51:b3:6c:35:d1,random,-76,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.118641,72:c1:0f:a1:02:57,random,-63,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.218616,62:b8:d8:c8:cc:9d,random,-82,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.321001,56:e4:99:a5:90:5d,random,-70,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.497568,62:b8:d8:c8:cc:9d,random,-77,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.598494,56:e4:99:a5:90:5d,random,-74,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.626942,62:b8:d8:c8:cc:9d,random,-78,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.726192,56:e4:99:a5:90:5d,random,-74,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.899873,62:b8:d8:c8:cc:9d,random,-79,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.000975,56:e4:99:a5:90:5d,random,-75,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.033030,62:b8:d8:c8:cc:9d,random,-75,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.131117,56:e4:99:a5:90:5d,random,-71,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.232297,72:c1:0f:a1:02:57,random,-69,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.404801,56:e4:99:a5:90:5d,random,-78,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.432688,72:c1:0f:a1:02:57,random,-68,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.529876,56:e4:99:a5:90:5d,random,-71,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.560000,77:51:b3:6c:35:d1,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.659273,56:e4:99:a5:90:5d,random,-72,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.690688,72:c1:0f:a1:02:57,random,-65,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.788648,72:c1:0f:a1:02:57,random,-67,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.817877,77:51:b3:6c:35:d1,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.923964,72:c1:0f:a1:02:57,random,-74,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.098604,72:c1:0f:a1:02:57,random,-71,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.201002,62:b8:d8:c8:cc:9d,random,-79,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.254089,77:51:b3:6c:35:d1,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.352371,72:c1:0f:a1:02:57,random,-64,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.457484,62:b8:d8:c8:cc:9d,random,-86,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.628568,56:e4:99:a5:90:5d,random,-78,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.731026,62:b8:d8:c8:cc:9d,random,-83,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.759555,77:51:b3:6c:35:d1,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.857099,77:51:b3:6c:35:d1,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.027560,62:b8:d8:c8:cc:9d,random,-80,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.056277,77:51:b3:6c:35:d1,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.156591,77:51:b3:6c:35:d1,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.327484,56:e4:99:a5:90:5d,random,-75,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.429967,62:b8:d8:c8:cc:9d,random,-85,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.461367,77:51:b3:6c:35:d1,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.561466,72:c1:0f:a1:02:57,random,-67,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.057483,62:b8:d8:c8:cc:9d,random,-72,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.157551,77:51:b3:6c:35:d1,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.404786,56:e4:99:a5:90:5d,random,-73,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.433399,72:c1:0f:a1:02:57,random,-75,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.532434,72:c1:0f:a1:02:57,random,-82,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.851678,56:e4:99:a5:90:5d,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.880763,77:51:b3:6c:35:d1,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.982665,77:51:b3:6c:35:d1,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.083616,56:e4:99:a5:90:5d,random,-79,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.113177,72:c1:0f:a1:02:57,random,-69,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.218050,72:c1:0f:a1:02:57,random,-72,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.394915,62:b8:d8:c8:cc:9d,random,-77,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.506234,56:e4:99:a5:90:5d,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.534350,72:c1:0f:a1:02:57,random,-73,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.788631,56:e4:99:a5:90:5d,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.906382,72:c1:0f:a1:02:57,random,-77,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:10.079933,56:e4:99:a5:90:5d,random,-76,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:10.109358,77:51:b3:6c:35:d1,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
