time,mac,type,RSSI,uuid
2023-02-20T16:42:00.323638,72:c1:0f:a1:02:57,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.516035,56:e4:99:a5:90:5d,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.635299,56:e4:99:a5:90:5d,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.126928,72:c1:0f:a1:02:57,random,-83,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.529836,72:c1:0f:a1:02:57,random,-82,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.218466,72:c1:0f:a1:02:57,random,-84,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.330831,77:51:b3:6c:35:d1,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.516414,72:c1:0f:a1:02:57,random,-96,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:02.631287,72:c1:0f:a1:02:57,random,-84,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.318328,72:c1:0f:a1:02:57,random,-84,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.574647,72:c1:0f:a1:02:57,random,-91,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.687415,62:b8:d8:c8:cc:9d,random,-101,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.249778,72:c1:0f:a1:02:57,random,-82,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.814462,72:c1:0f:a1:02:57,random,-85,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.222391,72:c1:0f:a1:02:57,random,-87,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.552606,62:b8:d8:c8:cc:9d,random,-99,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.087414,72:c1:0f:a1:02:57,random,-90,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.206393,72:c1:0f:a1:02:57,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.479836,72:c1:0f:a1:02:57,random,-83,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.170442,72:c1:0f:a1:02:57,random,-87,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.431004,72:c1:0f:a1:02:57,random,-86,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.829955,72:c1:0f:a1:02:57,random,-90,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.015034,56:e4:99:a5:90:5d,random,-99,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.127366,72:c1:0f:a1:02:57,random,-86,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.533810,72:c1:0f:a1:02:57,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.646241,72:c1:0f:a1:02:57,random,-90,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.334081,72:c1:0f:a1:02:57,random,-96,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:09.884697,72:c1:0f:a1:02:57,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:10.866060,72:c1:0f:a1:02:57,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:11.552599,72:c1:0f:a1:02:57,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:11.830908,72:c1:0f:a1:02:57,random,-89,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:12.105161,77:51:b3:6c:35:d1,random,-102,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:13.297854,72:c1:0f:a1:02:57,random,-91,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:14.702701,72:c1:0f:a1:02:57,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:15.245130,72:c1:0f:a1:02:57,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:15.791341,72:c1:0f:a1:02:57,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:16.059956,72:c1:0f:a1:02:57,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:16.318593,72:c1:0f:a1:02:57,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:17.291378,72:c1:0f:a1:02:57,random,-96,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:20.133980,72:c1:0f:a1:02:57,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:20.820353,72:c1:0f:a1:02:57,random,-94,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:22.733822,72:c1:0f:a1:02:57,random,-97,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:23.004046,72:c1:0f:a1:02:57,random,-91,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:23.404449,72:c1:0f:a1:02:57,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:23.947830,72:c1:0f:a1:02:57,random,-93,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:24.775463,72:c1:0f:a1:02:57,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:25.609524,72:c1:0f:a1:02:57,random,-98,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:26.159207,72:c1:0f:a1:02:57,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:30.232074,72:c1:0f:a1:02:57,random,-93,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:30.914320,72:c1:0f:a1:02:57,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:33.106769,72:c1:0f:a1:02:57,random,-93,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:33.791781,72:c1:0f:a1:02:57,random,-94,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:34.189256,72:c1:0f:a1:02:57,random,-94,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:34.440683,72:c1:0f:a1:02:57,random,-99,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:36.119575,72:c1:0f:a1:02:57,random,-94,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:36.659679,72:c1:0f:a1:02:57,random,-96,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:38.853155,72:c1:0f:a1:02:57,random,-97,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:39.113147,72:c1:0f:a1:02:57,random,-97,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:40.314443,72:c1:0f:a1:02:57,random,-98,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:41.435811,72:c1:0f:a1:02:57,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:42.632187,72:c1:0f:a1:02:57,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:43.758210,72:c1:0f:a1:02:57,random,-91,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:45.402314,72:c1:0f:a1:02:57,random,-93,0000ccb5-0000-1000-8000-00805f9b34fb
