time,mac,type,RSSI,uuid
2023-02-20T16:42:00.036778,56:e4:99:a5:90:5d,random,-77,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.151319,72:c1:0f:a1:02:57,random,-71,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.466268,56:e4:99:a5:90:5d,random,-77,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.517240,62:b8:d8:c8:cc:9d,random,-79,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.615034,62:b8:d8:c8:cc:9d,random,-81,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.718599,62:b8:d8:c8:cc:9d,random,-81,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.750975,72:c1:0f:a1:02:57,random,-85,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.841996,62:b8:d8:c8:cc:9d,random,-88,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:00.941163,77:51:b3:6c:35:d1,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.098490,77:51:b3:6c:35:d1,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.126931,72:c1:0f:a1:02:57,random,-77,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.223502,77:51:b3:6c:35:d1,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.380320,77:51:b3:6c:35:d1,random,-67,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.410861,72:c1:0f:a1:02:57,random,-59,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.571796,56:e4:99:a5:90:5d,random,-67,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:01.599585,77:51:b3:6c:35:d1,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:03.421166,77:51:b3:6c:35:d1,random,-76,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.457756,72:c1:0f:a1:02:57,random,-71,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.559892,62:b8:d8:c8:cc:9d,random,-86,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.660905,72:c1:0f:a1:02:57,random,-53,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.944970,56:e4:99:a5:90:5d,random,-70,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:04.978458,72:c1:0f:a1:02:57,random,-68,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.088687,56:e4:99:a5:90:5d,random,-79,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.184522,72:c1:0f:a1:02:57,random,-76,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.345925,77:51:b3:6c:35:d1,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.384506,72:c1:0f:a1:02:57,random,-72,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.481547,77:51:b3:6c:35:d1,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.638506,56:e4:99:a5:90:5d,random,-74,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.672385,62:b8:d8:c8:cc:9d,random,-89,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.710032,72:c1:0f:a1:02:57,random,-73,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.797301,56:e4:99:a5:90:5d,random,-70,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:05.909291,72:c1:0f:a1:02:57,random,-77,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.047350,56:e4:99:a5:90:5d,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.076131,72:c1:0f:a1:02:57,random,-75,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.167285,77:51:b3:6c:35:d1,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.205910,62:b8:d8:c8:cc:9d,random,-69,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.319505,62:b8:d8:c8:cc:9d,random,-95,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.346890,72:c1:0f:a1:02:57,random,-58,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.438600,77:51:b3:6c:35:d1,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.466899,62:b8:d8:c8:cc:9d,random,-87,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.505887,72:c1:0f:a1:02:57,random,-72,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.594555,56:e4:99:a5:90:5d,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.680212,72:c1:0f:a1:02:57,random,-75,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:06.849056,77:51:b3:6c:35:d1,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.007042,56:e4:99:a5:90:5d,random,-77,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.037361,72:c1:0f:a1:02:57,random,-75,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.124532,77:51:b3:6c:35:d1,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.225920,62:b8:d8:c8:cc:9d,random,-80,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.403235,77:51:b3:6c:35:d1,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.437449,62:b8:d8:c8:cc:9d,random,-83,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.474201,72:c1:0f:a1:02:57,random,-77,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.562142,77:51:b3:6c:35:d1,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.644861,56:e4:99:a5:90:5d,random,-77,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.676536,72:c1:0f:a1:02:57,random,-72,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.774693,62:b8:d8:c8:cc:9d,random,-74,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.865839,56:e4:99:a5:90:5d,random,-68,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:07.979036,56:e4:99:a5:90:5d,random,-69,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.067285,72:c1:0f:a1:02:57,random,-74,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.158475,62:b8:d8:c8:cc:9d,random,-82,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.258256,56:e4:99:a5:90:5d,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T16:42:08.285210,77:51:b3:6c:35:d1,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
