time,mac,type,RSSI,uuid
2023-02-20T17:14:00.033953,55:ac:18:02:9d:61,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:00.072381,58:69:dd:0e:a4:52,random,-89,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:00.112094,7b:ae:a8:2c:54:17,random,-85,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:00.472836,58:69:dd:0e:a4:52,random,-85,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:00.511343,75:72:30:54:70:6c,random,-89,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:00.549619,55:ac:18:02:9d:61,random,-80,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:00.589009,7b:ae:a8:2c:54:17,random,-89,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:00.951097,58:69:dd:0e:a4:52,random,-103,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:00.991041,75:72:30:54:70:6c,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:01.035098,55:ac:18:02:9d:61,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:01.074848,7b:ae:a8:2c:54:17,random,-87,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:01.438894,58:69:dd:0e:a4:52,random,-94,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:01.481082,55:ac:18:02:9d:61,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:01.520378,7b:ae:a8:2c:54:17,random,-87,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:01.884447,58:69:dd:0e:a4:52,random,-94,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:01.927375,55:ac:18:02:9d:61,random,-86,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:01.964405,7b:ae:a8:2c:54:17,random,-86,0000ccb5-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:02.328133,75:72:30:54:70:6c,random,-91,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:02.371253,55:ac:18:02:9d:61,random,-88,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:02.409556,58:69:dd:0e:a4:52,random,-92,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:02.772749,75:72:30:54:70:6c,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:02.814862,55:ac:18:02:9d:61,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:02.852022,58:69:dd:0e:a4:52,random,-89,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:03.215132,58:69:dd:0e:a4:52,random,-93,0000ce9c-0000-1000-8000-00805f9b34fb
2023-02-20T17:14:03.254330,75:72:30:54:70:6c,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
