time,mac,type,RSSI,uuid
2023-03-21T14:58:49.479993,66:3a:12:09:0a:9c,random,-98,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:49.853663,7e:bb:14:57:5c:ac,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:52.201957,52:69:f7:cc:8b:c7,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:53.550186,52:69:f7:cc:8b:c7,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:53.581283,66:3a:12:09:0a:9c,random,-89,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:53.935876,66:3a:12:09:0a:9c,random,-89,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:55.362978,7e:bb:14:57:5c:ac,random,-80,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:55.401863,66:3a:12:09:0a:9c,random,-79,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:57.800439,7e:bb:14:57:5c:ac,random,-80,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:58.705457,7e:bb:14:57:5c:ac,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:59.399962,7e:bb:14:57:5c:ac,random,-72,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:59.432177,6e:07:75:15:4b:13,random,-97,0000ce9c-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:59.787796,66:3a:12:09:0a:9c,random,-71,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T14:58:59.814675,7e:bb:14:57:5c:ac,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T14:59:00.180005,74:9e:f4:c5:53:19,random,-95,0000950b-0000-1000-8000-00805f9b34fb
2023-03-21T14:59:00.214822,6e:07:75:15:4b:13,random,-72,0000ce9c-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:46.444813,52:69:f7:cc:8b:c7,random,-89,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:47.841497,52:69:f7:cc:8b:c7,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:48.211822,66:3a:12:09:0a:9c,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:48.568878,74:9e:f4:c5:53:19,random,-81,0000950b-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:48.940989,46:1b:6e:86:a0:77,random,-100,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:48.978094,7e:bb:14:57:5c:ac,random,-78,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:49.666080,66:3a:12:09:0a:9c,random,-91,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:49.707959,52:69:f7:cc:8b:c7,random,-94,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:50.079775,52:69:f7:cc:8b:c7,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:50.446298,52:69:f7:cc:8b:c7,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:50.484297,7e:bb:14:57:5c:ac,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:50.524088,66:3a:12:09:0a:9c,random,-80,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:51.463818,52:69:f7:cc:8b:c7,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:51.832502,52:69:f7:cc:8b:c7,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:52.192347,52:69:f7:cc:8b:c7,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:52.892295,52:69:f7:cc:8b:c7,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:53.260762,66:3a:12:09:0a:9c,random,-94,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:53.951174,52:69:f7:cc:8b:c7,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:53.986432,7e:bb:14:57:5c:ac,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:54.341197,74:9e:f4:c5:53:19,random,-83,0000950b-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:54.679173,66:3a:12:09:0a:9c,random,-82,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:54.695104,52:69:f7:cc:8b:c7,random,-71,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:55.038784,52:69:f7:cc:8b:c7,random,-71,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:56.470602,66:3a:12:09:0a:9c,random,-89,0000b1fc-0000-1000-8000-00805f9b34fb
2023-03-21T15:03:57.496336,74:9e:f4:c5:53:19,random,-82,0000950b-0000-1000-8000-00805f9b34fb
